epsilon1a,mhu1a,epsilon1b,mhu1b,epsilon2a,mhu2a,epsilon2b,mhu2b,d1a,d1b,d2a,d2b,N1,N2
{2.303189723371972, 1, 1, 1, 5.696810276628028, 1, 1, 1, 0.7703066193728167, 0.22969338062718334, 0.287518920333199, 0.7124810796668011, 13, 13}
{5.444828582029056, 1, 1, 1, 2.5551714179709437, 1, 1, 1, 0.2990297893036772, 0.7009702106963229, 0.6662279451215499, 0.3337720548784501, 18, 18}
{2.645269277208455, 1, 1, 1, 5.354730722791545, 1, 1, 1, 0.6365149031411587, 0.36348509685884145, 0.30344152721498024, 0.6965584727850197, 13, 13}
{5.938240747986517, 1, 1, 1, 2.0617592520134833, 1, 1, 1, 0.2775034548628799, 0.7224965451371201, 0.9147666575152504, 0.0852333424847496, 13, 13}
{4.442565685874454, 1, 1, 1, 3.557434314125546, 1, 1, 1, 0.3599501595212483, 0.6400498404787517, 0.44997597458336147, 0.5500240254166386, 15, 15}
{3.3759131793348436, 1, 1, 1, 4.624086820665156, 1, 1, 1, 0.47617300290762604, 0.5238269970923741, 0.3466113927347345, 0.6533886072652655, 16, 16}
{4.580290986304908, 1, 1, 1, 3.4197090136950923, 1, 1, 1, 0.34971451081670873, 0.6502854891832912, 0.4695120409976351, 0.5304879590023649, 14, 14}
{6.340850629479849, 1, 1, 1, 1.6591493705201508, 1, 1, 1, 0.2626505496851829, 0.737349450314817, 1.3840995022996418, 0.38409950229964157, 15, 15}
{6.127638814512803, 1, 1, 1, 1.8723611854871969, 1, 1, 1, 0.27025156763477726, 0.7297484323652228, 1.0825006744403582, 0.08250067444035804, 14, 14}
{6.647336049798865, 1, 1, 1, 1.3526639502011353, 1, 1, 1, 0.2526423655550707, 0.7473576344449294, 2.445589998398687, 1.4455899983986864, 20, 20}
{2.378919841310566, 1, 1, 1, 5.621080158689434, 1, 1, 1, 0.7351577607608546, 0.26484223923914557, 0.2908573310426247, 0.7091426689573754, 12, 12}
{6.626548342153223, 1, 1, 1, 1.3734516578467773, 1, 1, 1, 0.2532898609783752, 0.7467101390216248, 2.3189647198608445, 1.318964719860844, 12, 12}
{3.0217490163251313, 1, 1, 1, 4.978250983674869, 1, 1, 1, 0.5400532972741056, 0.45994670272589455, 0.3238557328347922, 0.6761442671652079, 11, 11}
{3.4168468949902526, 1, 1, 1, 4.583153105009748, 1, 1, 1, 0.4699403561544349, 0.5300596438455651, 0.3495095664428268, 0.6504904335571732, 14, 14}
{4.52315646057356, 1, 1, 1, 3.4768435394264405, 1, 1, 1, 0.3538703685497628, 0.6461296314502373, 0.4611581661251018, 0.5388418338748983, 14, 14}
{6.600123797700361, 1, 1, 1, 1.3998762022996392, 1, 1, 1, 0.25411922034055273, 0.7458807796594472, 2.1769112962654034, 1.1769112962654031, 16, 16}
{3.291925546149504, 1, 1, 1, 4.708074453850497, 1, 1, 1, 0.4896211150084701, 0.5103788849915298, 0.34085114433097347, 0.6591488556690266, 12, 12}
{4.687575171544944, 1, 1, 1, 3.3124248284550557, 1, 1, 1, 0.3422346125772192, 0.6577653874227809, 0.4862532722812607, 0.5137467277187393, 12, 12}
