epsilon1a,mhu1a,epsilon1b,mhu1b,epsilon2a,mhu2a,epsilon2b,mhu2b,d1a,d1b,d2a,d2b,N1,N2
{1.489978779080475, 1, 1, 1, 5.321506637961229, 1, 1, 1, 0.6263344830680995, 0.3736655169319007, 0.30511101151702935, 0.6948889884829706, 13, 13}
{2.0248520831744417, 1, 1, 1, 4.359914094885754, 1, 1, 1, 0.4391789819698181, 0.5608210180301819, 0.3664669792126701, 0.63353302078733, 17, 17}
{1.2697035329957806, 1, 1, 1, 5.871012387157178, 1, 1, 1, 0.8684961761695924, 0.1315038238304077, 0.28020110926138936, 0.7197988907386106, 19, 19}
{1.4812474883528093, 1, 1, 1, 4.876061759454054, 1, 1, 1, 0.5195418164285933, 0.4804581835714068, 0.3300259789478622, 0.6699740210521379, 11, 11}
{2.691134934618595, 1, 1, 1, 3.7849165100536046, 1, 1, 1, 0.37863788045118396, 0.621362119548816, 0.42172059709112625, 0.5782794029088738, 19, 19}
{1.3973702248007596, 1, 1, 1, 3.2458114592894005, 1, 1, 1, 0.33779020861682973, 0.6622097913831703, 0.49741049105720353, 0.5025895089427965, 18, 18}
{0.5596687856180136, 1, 1, 1, 2.2115431158359424, 1, 1, 1, 0.28360835319512395, 0.7163916468048761, 0.8185380614889224, 0.18146193851107775, 17, 17}
{2.82425367557201, 1, 1, 1, 4.567615904035269, 1, 1, 1, 0.4676266979763403, 0.5323733020236597, 0.3506257922805617, 0.6493742077194383, 15, 15}
{2.244195376898802, 1, 1, 1, 5.190763703433355, 1, 1, 1, 0.5897710102363941, 0.41022898976360594, 0.31191682510194246, 0.6880831748980576, 15, 15}
{2.3501794517372896, 1, 1, 1, 1.6641927033532422, 1, 1, 1, 0.2628239554432867, 0.7371760445567134, 1.3747641493294764, 0.3747641493294763, 16, 16}
{2.901588285139162, 1, 1, 1, 4.8646731934145215, 1, 1, 1, 0.5173719353700637, 0.48262806462993646, 0.3307323013758181, 0.669267698624182, 18, 18}
{0.4491796870950985, 1, 1, 1, 5.917631324842478, 1, 1, 1, 0.8999857345204934, 0.10001426547950666, 0.27832328179109306, 0.721676718208907, 12, 12}
{5.121090239053207, 1, 1, 1, 1.5870705606389066, 1, 1, 1, 0.2602043732108513, 0.7397956267891487, 1.5348210965489955, 0.5348210965489953, 12, 12}
{2.71612471919383, 1, 1, 1, 5.002076475697734, 1, 1, 1, 0.5451231169985276, 0.45487688300147255, 0.32245903989425534, 0.6775409601057447, 18, 18}
{4.688838041709996, 1, 1, 1, 1.6841785695065532, 1, 1, 1, 0.2635140739171442, 0.7364859260828558, 1.3391062031330767, 0.33910620313307643, 20, 20}
{0.6654115741958234, 1, 1, 1, 4.9753529683611255, 1, 1, 1, 0.5394444046570527, 0.46055559534294727, 0.3240266744705853, 0.6759733255294147, 17, 17}
